id,country_code,state,location,category,urgency,urgency_score,original_text,translated_text,channel,created_at
CR-IND-5178,IND,Uttar Pradesh,Varanasi Rural,Healthcare & Clinics,Medium,0.35,The local primary clinic in Varanasi has no electricity backup for pediatric vaccine storage.,The local primary clinic in Varanasi has no electricity backup for pediatric vaccine storage.,text,2026-08-23T09:02:23.835160Z
CR-IND-9704,IND,Uttar Pradesh,Varanasi Rural,Healthcare & Clinics,Medium,0.35,The local primary clinic in Varanasi has no electricity backup for pediatric vaccine storage.,The local primary clinic in Varanasi has no electricity backup for pediatric vaccine storage.,text,2026-08-23T12:33:19.604497Z
CR-IND-6800,IND,Uttar Pradesh,Varanasi District,Water & Sanitation,High,0.65,"हमारे ब्लॉक 4 में पीने के पानी की मुख्य पाइपलाइन टूट गई है, 500 घरों में 4 दिन से पानी नहीं आ रहा है, कृपया तत्काल ठीक कराएं।","[Translated from Hindi] Citizen reports: हमारे ब्लॉक 4 में पीने के पानी की मुख्य पाइपलाइन टूट गई है, 500 घरों में 4 दिन से पानी नहीं आ रहा है, कृपया तत्काल ठीक कराएं।. Demands immediate infrastructure intervention.",voice,2026-08-23T12:36:35.805104Z
CR-IND-7437,IND,Uttar Pradesh,Varanasi District,Water & Sanitation,High,0.65,"हमारे ब्लॉक 4 में पीने के पानी की मुख्य पाइपलाइन टूट गई है, 500 घरों में 4 दिन से पानी नहीं आ रहा है, कृपया तत्काल ठीक कराएं।","[Translated from Hindi] Citizen reports: हमारे ब्लॉक 4 में पीने के पानी की मुख्य पाइपलाइन टूट गई है, 500 घरों में 4 दिन से पानी नहीं आ रहा है, कृपया तत्काल ठीक कराएं।. Demands immediate infrastructure intervention.",voice,2026-08-23T12:36:44.802231Z
CR-IND-8711,IND,Uttar Pradesh,Varanasi Rural,Water & Sanitation,High,0.55,"there is no water, water filtration problem in Karnataka.","there is no water, water filtration problem in Karnataka.",whatsapp,2026-08-23T12:37:24.403445Z
CR-IND-7504,IND,Uttar Pradesh,Varanasi Rural,Healthcare & Clinics,Medium,0.35,The local primary clinic in Varanasi has no electricity backup for pediatric vaccine storage.,The local primary clinic in Varanasi has no electricity backup for pediatric vaccine storage.,text,2026-08-23T12:46:37.376056Z
CR-IND-9295,IND,Uttar Pradesh,Varanasi Rural,Roads & Public Transport,High,0.7,Bridge support collapse risk near river crossing in Bihar.,Bridge support collapse risk near river crossing in Bihar.,text,2026-08-23T12:46:37.518088Z
CR-IND-8837,IND,Uttar Pradesh,"Varanasi Rural, Uttar Pradesh",Roads & Public Transport,Medium,0.35,"We have a water problem, potholes in the centre of the roads, Karnataka
","We have a water problem, potholes in the centre of the roads, Karnataka
",text,2026-08-23T12:52:46.620617Z
CR-IND-9466,IND,Karnataka,Bengaluru Urban & Rural,Roads & Public Transport,Medium,0.35,Severe road potholes in Koramangala Bengaluru Karnataka,Severe road potholes in Koramangala Bengaluru Karnataka,text,2026-08-23T13:12:31.295009Z
CR-IND-6458,IND,Karnataka,Citizen Ward,Water & Sanitation,Medium,0.35,Im from karnataka and im having the issues related to the water.,Im from karnataka and im having the issues related to the water.,text,2026-08-23T13:31:53.633058Z
CR-IND-7804,IND,Uttar Pradesh,Varanasi Rural,Healthcare & Clinics,Medium,0.35,The local primary clinic in Varanasi has no electricity backup for pediatric vaccine storage.,The local primary clinic in Varanasi has no electricity backup for pediatric vaccine storage.,text,2026-09-24T12:38:08.093703Z
